Title,Country,City,Job_type,Job_level,Mode,Area,Salary,Date,Applicants,Company,Skills,Functions,Requirements,URL
Desarrollador Ionic Proyecto,Chile,Santiago,Híbrido,Semi Senior,FULL_TIME,Programación,No hay información,2023-08-01,16.0,Kibernum,"['Node.js', 'AngularJS', 'Oracle', 'Ionic', 'Back-end', 'TypeScript', 'JavaScript', 'Angular', 'Front-end']","· Profesional a cargo del desarrollo web, trabajará en el interfaz.
· Ejecutar tareas de programación a las que sea asignado.
· Hacer una revisión preliminar de lo asignado y auto gestionar su trabajo.
· Respetar diseños entregados ya sean patrones estándar o requerimientos particulares.
· Realizar análisis de sistemas según solicitudes específicas del jefe de Proyecto a cargo para levantar procesos internos de una aplicación cuando aún no haya desarrollos en curso.
· El proyecto está enmarcado en el proceso de transformación tecnológica, que se desarrollará en conjunto con equipos.","· Experiencia en desarrollo con NodeJs
· Experiencia en desarrollo con IONIC
· Experiencia en desarrollo con Angular
· Experiencia en TypeScript
· Deseable experiencia en Base de datos Oracle
. Carrera base Ingeniería en informática egresado",https://www.getonbrd.com/empleos/programacion/desarrollador-ionic-proyecto-kibernum-santiago
DevOps Engineer,Chile,Santiago,Híbrido,Semi Senior,FULL_TIME,SysAdmin / DevOps / QA,2850.0,2023-08-01,16.0,NeuralWorks,"['DevOps', 'Python', 'Microservices', 'Kubernetes', 'SRE', 'Back-end', 'CI/CD', 'English', 'Machine Learning Engineer', 'Debugging']",,,https://www.getonbrd.com/empleos/sysadmin-devops-qa/devops-engineer-neuralworks-santiago-3767
Líder de Proyectos TI (Rails React),Chile,Santiago,Híbrido,Senior,FULL_TIME,Operaciones / Admin,No hay información,2023-08-01,159.0,TCIT,"['Ruby', 'Ruby on Rails', 'React', 'Back-end', 'JavaScript', 'Cloud', 'Project Manager']","Liderarás el diseño e implementación de procesos, considerando para ello las integraciones con los sistemas acorde a las necesidades y datos definidos, cumpliendo en tiempo, calidad y forma los objetivos, plazos y costos fijados
Coordinarás todas las acciones para la implementación de los proyectos
Garantizarás una buena comunicación, coordinación y delegación de tareas entre los integrantes del equipo para cumplir con las metas
Apoyarás, supervisarás y coordinarás todas las tareas del equipo a realizar durante el transcurso de los proyectos
Transmitirás la información acerca de los acontecimientos del proyecto a los distintos stakeholders
Levantarás los requerimientos y especificaciones del cliente
Definirás el calendario para la implementación y las fechas de entrega (sprint), harás el seguimiento correspondiente y asegurarás el cumplimiento de estos
Integrarás incontemplados y nuevas funcionalidades
Liderarás los pasos a producción
Manejarás y resolverás problemas y limitaciones
Mantendrás reuniones constantes con el cliente para transmitir los avances y las problemáticas que se van presentando cada semana
Mantendrás seguimiento continuo de los avances de cada integrante de los proyectos
Identificarás herramientas y sistemas necesarios para la implementación de los diversos proyectos asociados","Título profesional de Ingeniero Informático, Ingeniero Industrial con mención en TI o afín
Experiencia de al menos 1 año como Jefe de Proyecto
Contar con experiencia en proyectos desarrollados en la nube
Contar con sólidos conocimientos técnicos en Desarrollo
Contar con disponibilidad para trabajar de manera híbrida (teletrabajo y oficina)
Poseer habilidades de gestión y visión comercial para dialogar y negociar con el cliente",https://www.getonbrd.com/empleos/operaciones-management/jefe-de-proyectos-ti-tcit-santiago-1bd5
Consultor Oracle SCM,,,Remoto,Senior,FULL_TIME,Programación,No hay información,2023-08-01,19.0,TCIT,"['Oracle', 'Back-end', 'English', 'Cloud', 'Java']","Serás responsable de implementar y configurar el sistema Oracle SCM-SCP, comprendiendo los requisitos comerciales, diseñando soluciones y personalizando el sistema cuando sea necesario
Trabajarás estrechamente con los clientes para analizar sus procesos de gestión de la cadena de suministros existentes e identificarás áreas de mejora, sugiriendo y diseñando soluciones eficientes que optimicen los procesos
Proporcionarás capacitación a los usuarios finales sobre el uso del sistema Oracle SCM, brindando soporte continuo para resolver cualquier problemática o duda que pueda surgir
Colaborarás de manera interdisciplinaria con los diferentes equipos correspondientes para integrar el sistema Oracle SCM con otros sistemas empresariales existentes, como sistemas ERP, sistemas de gestión de almacenes, entre otros. Grarantizando una integración fluida y un intercambio de datos eficientes
Optimizarás la cadena de suministros, planificando la demanda, gestión de inventario, programación de producción, entre otros aspectos
Serás el punto de contacto para abordar y resolver problemas relacionados con Oracle SCM, identificando y mitigando riesgos, para garantizar un funcionamiento óptimo del sistema
Mantendrás de manera regular el sistema, asegurándote de que el entorno esté actualizado y cumpla con los estándares de seguridad y rendimiento.","Nivel de manejo avanzado en Java
Desde 3 años de experiencia en consultoría Oracle SCM y/o SCP Cloud
Experiencia en procesos de planificación de cadena de suministro (demanda, compras, distribución, inventarios, entre otros)
Manejo de Inglés avanzado
Título de Ingeniero en Informática, Ingeniero civil en computación, Ingeniero de sistemas o carrera afín.
Experiencia en proyectos de implementación end-to-end de Oracle SCM-SCP Cloud (desde la preparación hasta el soporte)
Experiencia en procesos de gestión de proyectos
Capacidad de análisis y resolución de problemas
Orientación al cliente",https://www.getonbrd.com/empleos/programacion/consultor-oracle-scm-tcit-remote
Consultor Oracle Wms,,,Remoto,Senior,FULL_TIME,Programación,No hay información,2023-08-01,12.0,TCIT,"['Oracle', 'Back-end', 'English', 'Cloud', 'Java']","Serás responsable de implementar y configurar el módulo WMS de Oracle en la operación hacia los clientes
Brindarás consultoría y asesoramiento a los clientes sobre las mejores prácticas y estrategias para aprovechar al máximo el módulo WMS Oracle
Resolverás y solucionarás incidencias relacionadas con el módulo WMS Oracle
Participarás en el diseño, desarrollo y personalización de soluciones específicas para los clientes
Proporcionarás capacitación y documentación a los usuarios y administradores del módulo WMS Cloud
Mantendrás un conocimiento actualizado del módulo WMS, siendo capaz de brindar asesoría sobre las mejoras y nuevas funcionalidades disponibles
Trabajarás en estrecha colaboración con otros consultores, arquitectos, equipos de desarrollo, equipos de soporte y líneas de negocio, garantizando el éxito de los proyectos y la satisfacción del cliente","Deseable nivel de manejo avanzado en Java
Desde 3 años de experiencia en consultoría Oracle WMS Cloud y/o Soluciones WMS
Manejo de Inglés avanzado
Título de Ingeniero en Informática, Ingeniero civil en computación, Ingeniero de sistemas o carrera afín.
Experiencia en proyectos de implementación end-to-end de Oracle WMS (desde la preparación hasta el soporte)
Experiencia en procesos de gestión de proyectos
Capacidad de análisis y resolución de problemas
Orientación al cliente",https://www.getonbrd.com/empleos/programacion/consultor-oracle-wms-tcit-remote
Arquitecto Cloud AWS,Chile,,Remoto,Semi Senior,FULL_TIME,SysAdmin / DevOps / QA,No hay información,2023-08-01,14.0,TCIT,"['NoSQL', 'SQL', 'Node.js', 'DevOps', 'Virtualization', 'React', 'Data Architecture', 'Amazon Web Services', 'Back-end', 'CI/CD', 'Cloud Computing', 'English', 'JavaScript', 'Cloud', 'Cloud Architecture']","Diseñarás e implementarás soluciones de infraestructura en la nube que sean seguras, escalables y altamente disponibles
Definirás integraciones con otros sistemas/base de datos, con foco en proyectos de integración con medios de pago
Colaborarás con equipos de desarrollo y operaciones para migrar aplicaciones y servicios a la nube
Optimizarás el rendimiento y la eficiencia de los servicios cloud y sus recursos
Asesorarás técnicamente al equipo de medios de pago
Investigarás y evaluarás nuevas tecnologías y servicios para mantenerte actualizado con las tendencias del mercado, diseñando de esta manera soluciones creativas e innovadoras
Trabajarás de la mano con los líderes técnicos en los proyectos , participando en la planificación y estrategia de la recuperación de incontemplados y continuidad de negocios.
Identificarás y resolverás problemas de rendimiento, escalabilidad y confiabilidad en la infraestructura de la nube","Titulado en ingeniería en informática, ingeniería en computación o afín
Al menos 2 años de experiencia en Arquitectura Cloud
Manejo de inglés avanzado (deseable)
Amplio conocimiento en AWS:
Bases de datos y persistencia: Amazon Aurora, Redshift y S3
Serverless: Amazon Lambda y ECS
Devops: Amazon CodeCommit, CodePipeline y CodeDeploy
Experiencia en programación con Node, React y Javascript
Manejo de base de datos SQL y NoSQL
Habilidades de resolución de problemas y capacidad para abordar desafíos técnicos complejos
Capacidad para trabajar en colaboración con equipos multidisciplinarios",https://www.getonbrd.com/empleos/sysadmin-devops-qa/arquitecto-cloud-tcit-remote
Full-Stack Developer (Node.js + React),Chile,,Remoto,Semi Senior,FULL_TIME,Programación,2250.0,2023-07-31,248.0,Softserve,"['NoSQL', 'SQL', 'Node.js', 'CSS', 'Redux', 'Git', 'React', 'GraphQL', 'ES6', 'API', 'Full-stack', 'REST API', 'Back-end', 'CI/CD', 'English', 'JavaScript', 'Java']","Designing, developing, debugging, and modifying components of software applications and tools
Projects that directly impact customers and support the strategic initiatives of brands or business units
Supporting the development of documentation and procedures for installation and maintenance
Developing the environment where the definition of 'done' includes unit testing, code review, and integration testing","A Software Engineer with at least 2 years of experience with Node.js, GraphQL, or Java
Showing a Bachelor's degree in Computer Science, or a related field
Proficient in JavaScript (ES6), React, and Redux
Knowledgeable of Webpack, Webdriver.io, HAPI.js, Git, and RESTful services
Having practice with CSS, Less, and BEM
Experienced in SQL, and NoSQL databases
Working with CI/CD pipelines
Demonstrating Upper-Intermediate level of English proficiency",https://www.getonbrd.com/empleos/programacion/full-stack-developer-node-js-react-softserve-remote
Senior Java Developer (+4 Years),Chile,,Remoto,Senior,FULL_TIME,Programación,No hay información,2023-07-31,28.0,Softserve,"['NoSQL', 'Android', 'MongoDB', 'Elasticsearch', 'Kotlin', 'Back-end', 'CI/CD', 'User Testing', 'Agile', 'Mobile development', 'English', 'Java', 'Software Developer']","Work collaboratively with lots of teams
Create top-notch solutions for maintaining our uniqueness in the vacation rental market
Provide hands-on technical leadership and participate in architectural decision-making
Drive new features from inception to production, working across the company with product managers, other stakeholders
Dedicated to delivering tested and optimized high-performance code for a distributed container-based architecture (our stack satisfies 10s of thousands of requests per second!)
Create and maintain quality software using best-in-class tools: GitHub, Splunk, DataDog
Work with product management and operations in an agile environment
Participate in resolution of production issues and lead efforts toward solutions
Grow a performant production environment in a way that makes the system increasingly reliable
Conduct peer code reviews","A strong software development skills and knowledge in Agile methodologies
Having 4+ years professional development experience as Software developer, focused in Java
Experience doing Unit testing and CI/CD
Analytical problem solver who is passionate about delivering high quality software
English Intermediate B2+
Excellent communication skills with ability to work well cross-functionally across multiple teams in English: you'll be working with worldwide development teams
Experience with Cassandra, ElasticSearch, MongoDB, AuroraDB
Familiar with Kotlin",https://www.getonbrd.com/empleos/programacion/senior-java-developer-4-years-softserve-remote
Desarrollador(a) Full-Stack,Chile,Santiago,Híbrido,Semi Senior,FULL_TIME,Programación,2200.0,2023-07-31,49.0,3IT,"['AngularJS', 'Scrum', 'Spring', 'API', 'Full-stack', 'Back-end', 'Agile', 'JavaScript', 'Angular', 'Java', 'Front-end', 'Spring Boot']",,,https://www.getonbrd.com/empleos/programacion/desarrollador-a-fullstack-3it-santiago-b53a
Sr. Android Developer,6 ubicaciones,,Remoto,Senior,FULL_TIME,Desarrollo Mobile,No hay información,2023-07-27,102.0,Apex Global Mobility,"['UX', 'Android', 'Material Design', 'Kotlin', 'Android Testing', 'Jira', 'Back-end', 'Mockito', 'Design Systems', 'Mobile development', 'Dagger', 'Testing Frameworks', 'Java', 'Confluence']","Asegurar la calidad del código por medio del apalancamiento de pruebas unitarias de extremo a extremo para mantener el mejor estándar de codificación de seguridad. Así mismo, administrar el enfoque para gestionar la memoria y el enfoque de subprocesos múltiples durante el proceso de Desarrollo. 
•Entender el patrón de diseño de Android y apalancarlo según la mejor práctica de codificación. 
•Seguir las mejores prácticas en torno a la integración de servicios RESTful. 
•Apalancar el marco adecuado de Android durante el ciclo de desarrollo 
•Seguir el enfoque de reutilización correcto durante el ciclo de Desarrollo. 
•Manejo de fragmentación en Android y sus APIs. 
•Participar en todo el ciclo ágil, incluyendo reuniones, desarrollos iterativos, estimaciones y sesiones de refinamiento. ","•Ingeniería en sistemas o carrera a fin
•Sólidos conocimientos en Kotlin 
•Sólidos conocimientos en Java 8+ o Kotlin, Android SDK, Constraint Layout, Mockito, Build Variants, Dagger, Gradle
•Conocimientos trabajo multihilo: RxJava/Coroutines
•Conocimiento en estándares UX / UI (Material Design, Atomic Design)
•Conocimiento de android architecture components
•Conocimiento de la herramienta Jira - Confluence (como usuario)",https://www.getonbrd.com/empleos/desarrollo-mobile/android-developer-apex-global-mobility-remote
Front-end Developer,6 ubicaciones,,Remoto,Semi Senior,FULL_TIME,Programación,No hay información,2023-07-27,74.0,Apex Global Mobility,"['AngularJS', 'HTML5', 'CSS', 'React', 'JavaScript', 'Angular', 'Front-end']","Responsable de transformar el diseño y la visión del producto en productos de trabajo y directamente influirá en la forma en que los usuarios interactuarán con el sistema. El desarrollador de Front End trabaja duro para mantenerse al tanto de la tecnología que cambia rápidamente e invierte mucha energía en aprender nuevos trucos. No solo están al tanto de las tendencias de la industria en los marcos de desarrollo de clientes, sino que también saben lo que traerá el futuro cercano. Un amor por las interfaces limpias y una pasión por las grandes experiencias de los usuarios es evidente.
Construir aplicaciones de acuerdo con el diseño y ofrecer a los diseñadores feedback y sugerir compensaciones cuando sea requerido
Asegurar que el código sigue las prácticas de codificación más recientes y los estándares de la industria
Trabajar de cerca con desarrolladores backend para entender y utilizar apropiadamente las APIs de sistemas
Escribir tanto pruebas de unidad como de integración, y desarrollar herramientas de automatización para tareas diarias
Retar ideas y opiniones para evitar errores y soluciones ineficiente
Construir aplicaciones web modernas basadas en JavaScript","2 años de experiencia como Desarrollador Aplicaciones o Automatizador de Sistemas
Manejo en HTML, CSS/LESS/SCSS/etc, JavaScript y diseño con capacidad de respuesta
Manejo en desarrollo móvil con herramientas y marcos nativos o web-to-nativos
Manejo uso de estructuras y bibliotecas JavaScript, como React, Angular, etc.
Habilidad para escribir pruebas efectivas de automatización de unidad, integración y usuario final",https://www.getonbrd.com/empleos/programacion/front-end-developer-apex-global-mobility-remote-86af
Data Engineer,6 ubicaciones,,Remoto,Semi Senior,FULL_TIME,Programación,No hay información,2023-07-27,43.0,Apex Global Mobility,"['Excel', 'Analytics', 'Python', 'Power BI', 'Azure', 'Customer Service', 'Back-end', 'Cloud Computing', 'English', 'Data Engineer', 'Cloud', 'Data Visualization']",,,https://www.getonbrd.com/empleos/programacion/data-engineer-apex-global-mobility-remote
